dia;id_partido;url
07;214686;https://www.tutiempo.net/clima/04-2018/ws-80800.html
02;179574;https://www.tutiempo.net/clima/10-2016/ws-84820.html
02;179570;https://www.tutiempo.net/clima/10-2016/ws-80450.html
22;179557;https://www.tutiempo.net/clima/09-2016/ws-80143.html
04;214494;https://www.tutiempo.net/clima/11-2017/ws-80143.html
10;214409;https://www.tutiempo.net/clima/09-2017/ws-80020.html
09;214527;https://www.tutiempo.net/clima/12-2017/ws-80020.html
19;214388;https://www.tutiempo.net/clima/08-2017/ws-80450.html
28;214641;https://www.tutiempo.net/clima/02-2018/ws-82240.html
18;214624;https://www.tutiempo.net/clima/02-2018/ws-83910.html
04;179802;https://www.tutiempo.net/clima/04-2017/ws-82210.html
26;214396;https://www.tutiempo.net/clima/08-2017/ws-80800.html
22;214467;https://www.tutiempo.net/clima/10-2017/ws-80450.html
31;214676;https://www.tutiempo.net/clima/03-2018/ws-80250.html
26;179634;https://www.tutiempo.net/clima/11-2016/ws-82210.html
08;179673;https://www.tutiempo.net/clima/01-2017/ws-83910.html
07;179864;https://www.tutiempo.net/clima/05-2017/ws-80020.html
22;179595;https://www.tutiempo.net/clima/10-2016/ws-80290.html
21;214546;https://www.tutiempo.net/clima/12-2017/ws-80800.html
03;214598;https://www.tutiempo.net/clima/02-2018/ws-80250.html
21;214583;https://www.tutiempo.net/clima/01-2018/ws-82210.html
19;214390;https://www.tutiempo.net/clima/08-2017/ws-81840.html
20;214426;https://www.tutiempo.net/clima/09-2017/ws-80250.html
11;214528;https://www.tutiempo.net/clima/12-2017/ws-81810.html
23;179834;https://www.tutiempo.net/clima/04-2017/ws-82210.html
24;214627;https://www.tutiempo.net/clima/02-2018/ws-81810.html
08;214693;https://www.tutiempo.net/clima/04-2018/ws-80290.html
13;214752;https://www.tutiempo.net/clima/05-2018/ws-80143.html
18;214714;https://www.tutiempo.net/clima/04-2018/ws-80143.html
22;179693;https://www.tutiempo.net/clima/01-2017/ws-83910.html
12;179725;https://www.tutiempo.net/clima/02-2017/ws-600300.html
08;179677;https://www.tutiempo.net/clima/01-2017/ws-82860.html
17;214416;https://www.tutiempo.net/clima/09-2017/ws-80800.html
12;179776;https://www.tutiempo.net/clima/03-2017/ws-80290.html
18;214709;https://www.tutiempo.net/clima/04-2018/ws-81810.html
10;179723;https://www.tutiempo.net/clima/02-2017/ws-81810.html
08;179812;https://www.tutiempo.net/clima/04-2017/ws-83910.html
20;214757;https://www.tutiempo.net/clima/05-2018/ws-82210.html
09;214414;https://www.tutiempo.net/clima/09-2017/ws-80143.html
19;214502;https://www.tutiempo.net/clima/11-2017/ws-600300.html
27;179528;https://www.tutiempo.net/clima/08-2016/ws-80250.html
30;214450;https://www.tutiempo.net/clima/09-2017/ws-80143.html
26;214586;https://www.tutiempo.net/clima/01-2018/ws-80250.html
17;179588;https://www.tutiempo.net/clima/10-2016/ws-80250.html
04;214600;https://www.tutiempo.net/clima/02-2018/ws-82240.html
28;179526;https://www.tutiempo.net/clima/08-2016/ws-82860.html
01;214452;https://www.tutiempo.net/clima/10-2017/ws-80290.html
11;179727;https://www.tutiempo.net/clima/02-2017/ws-80850.html
13;214701;https://www.tutiempo.net/clima/04-2018/ws-81840.html
07;214691;https://www.tutiempo.net/clima/04-2018/ws-83910.html
11;179779;https://www.tutiempo.net/clima/03-2017/ws-84190.html
04;179768;https://www.tutiempo.net/clima/03-2017/ws-80250.html
18;214497;https://www.tutiempo.net/clima/11-2017/ws-82210.html
17;214622;https://www.tutiempo.net/clima/02-2018/ws-600300.html
13;179728;https://www.tutiempo.net/clima/02-2017/ws-80250.html
27;179524;https://www.tutiempo.net/clima/08-2016/ws-82210.html
19;179889;https://www.tutiempo.net/clima/05-2017/ws-84190.html
02;179753;https://www.tutiempo.net/clima/03-2017/ws-80020.html
16;179829;https://www.tutiempo.net/clima/04-2017/ws-84190.html
24;214439;https://www.tutiempo.net/clima/09-2017/ws-81810.html
11;179721;https://www.tutiempo.net/clima/02-2017/ws-80250.html
17;214425;https://www.tutiempo.net/clima/09-2017/ws-80290.html
04;214489;https://www.tutiempo.net/clima/11-2017/ws-80020.html
31;179791;https://www.tutiempo.net/clima/03-2017/ws-81810.html
26;179523;https://www.tutiempo.net/clima/08-2016/ws-83910.html
22;179666;https://www.tutiempo.net/clima/02-2017/ws-80143.html
01;214679;https://www.tutiempo.net/clima/04-2018/ws-81810.html
14;179682;https://www.tutiempo.net/clima/01-2017/ws-81810.html
27;179844;https://www.tutiempo.net/clima/04-2017/ws-83910.html
17;214422;https://www.tutiempo.net/clima/09-2017/ws-600300.html
22;179831;https://www.tutiempo.net/clima/04-2017/ws-81810.html
29;179701;https://www.tutiempo.net/clima/01-2017/ws-80250.html
31;179604;https://www.tutiempo.net/clima/10-2016/ws-80020.html
26;179633;https://www.tutiempo.net/clima/11-2016/ws-84820.html
11;214663;https://www.tutiempo.net/clima/03-2018/ws-600300.html
24;214632;https://www.tutiempo.net/clima/02-2018/ws-82210.html
22;214721;https://www.tutiempo.net/clima/04-2018/ws-81840.html
18;214666;https://www.tutiempo.net/clima/03-2018/ws-81810.html
17;179545;https://www.tutiempo.net/clima/09-2016/ws-600300.html
07;214559;https://www.tutiempo.net/clima/01-2018/ws-80450.html
09;179810;https://www.tutiempo.net/clima/04-2017/ws-80450.html
14;214698;https://www.tutiempo.net/clima/04-2018/ws-81810.html
23;179835;https://www.tutiempo.net/clima/04-2017/ws-80290.html
21;179880;https://www.tutiempo.net/clima/05-2017/ws-82210.html
14;179585;https://www.tutiempo.net/clima/10-2016/ws-600300.html
05;214736;https://www.tutiempo.net/clima/05-2018/ws-80250.html
16;179580;https://www.tutiempo.net/clima/10-2016/ws-80800.html
18;214544;https://www.tutiempo.net/clima/12-2017/ws-84820.html
17;214501;https://www.tutiempo.net/clima/11-2017/ws-81840.html
17;179820;https://www.tutiempo.net/clima/04-2017/ws-80800.html
07;179865;https://www.tutiempo.net/clima/05-2017/ws-84820.html
05;179618;https://www.tutiempo.net/clima/11-2016/ws-80850.html
16;179685;https://www.tutiempo.net/clima/01-2017/ws-84820.html
31;214681;https://www.tutiempo.net/clima/03-2018/ws-81840.html
19;214759;https://www.tutiempo.net/clima/05-2018/ws-80450.html
18;179788;https://www.tutiempo.net/clima/03-2017/ws-80250.html
20;179884;https://www.tutiempo.net/clima/05-2017/ws-80020.html
20;179519;https://www.tutiempo.net/clima/08-2016/ws-84190.html
05;214745;https://www.tutiempo.net/clima/05-2018/ws-82860.html
03;214596;https://www.tutiempo.net/clima/02-2018/ws-80800.html
24;214630;https://www.tutiempo.net/clima/02-2018/ws-82210.html
19;179514;https://www.tutiempo.net/clima/08-2016/ws-80020.html
18;179625;https://www.tutiempo.net/clima/11-2016/ws-83910.html
03;214648;https://www.tutiempo.net/clima/03-2018/ws-80020.html
10;214535;https://www.tutiempo.net/clima/12-2017/ws-82860.html
12;214754;https://www.tutiempo.net/clima/05-2018/ws-82210.html
15;179824;https://www.tutiempo.net/clima/04-2017/ws-80020.html
06;179612;https://www.tutiempo.net/clima/11-2016/ws-83910.html
22;214724;https://www.tutiempo.net/clima/04-2018/ws-84820.html
02;179794;https://www.tutiempo.net/clima/04-2017/ws-82210.html
01;214645;https://www.tutiempo.net/clima/03-2018/ws-83910.html
12;179729;https://www.tutiempo.net/clima/02-2017/ws-82210.html
21;214392;https://www.tutiempo.net/clima/08-2017/ws-80143.html
06;214557;https://www.tutiempo.net/clima/01-2018/ws-82210.html
27;179841;https://www.tutiempo.net/clima/04-2017/ws-80250.html
17;214618;https://www.tutiempo.net/clima/02-2018/ws-80250.html
09;214695;https://www.tutiempo.net/clima/04-2018/ws-82860.html
01;179758;https://www.tutiempo.net/clima/03-2017/ws-80850.html
03;214651;https://www.tutiempo.net/clima/03-2018/ws-82210.html
04;214597;https://www.tutiempo.net/clima/02-2018/ws-82210.html
03;214520;https://www.tutiempo.net/clima/12-2017/ws-82240.html
19;179737;https://www.tutiempo.net/clima/02-2017/ws-80143.html
06;179869;https://www.tutiempo.net/clima/05-2017/ws-84190.html
19;179784;https://www.tutiempo.net/clima/03-2017/ws-80020.html
09;214534;https://www.tutiempo.net/clima/12-2017/ws-80143.html
15;179583;https://www.tutiempo.net/clima/10-2016/ws-81810.html
03;214519;https://www.tutiempo.net/clima/12-2017/ws-80250.html
18;179732;https://www.tutiempo.net/clima/02-2017/ws-83910.html
27;179840;https://www.tutiempo.net/clima/04-2017/ws-80800.html
12;214656;https://www.tutiempo.net/clima/03-2018/ws-80800.html
04;179640;https://www.tutiempo.net/clima/12-2016/ws-80800.html
03;214604;https://www.tutiempo.net/clima/02-2018/ws-83910.html
21;179556;https://www.tutiempo.net/clima/09-2016/ws-80290.html
30;214449;https://www.tutiempo.net/clima/09-2017/ws-82210.html
09;214725;https://www.tutiempo.net/clima/05-2018/ws-83910.html
05;179644;https://www.tutiempo.net/clima/12-2016/ws-80020.html
10;179771;https://www.tutiempo.net/clima/03-2017/ws-81810.html
20;214550;https://www.tutiempo.net/clima/12-2017/ws-82240.html
04;179717;https://www.tutiempo.net/clima/02-2017/ws-80143.html
05;214490;https://www.tutiempo.net/clima/11-2017/ws-80143.html
30;179850;https://www.tutiempo.net/clima/04-2017/ws-80450.html
19;179540;https://www.tutiempo.net/clima/09-2016/ws-80800.html
16;179581;https://www.tutiempo.net/clima/10-2016/ws-80250.html
23;214629;https://www.tutiempo.net/clima/02-2018/ws-80020.html
08;214690;https://www.tutiempo.net/clima/04-2018/ws-80143.html
15;179686;https://www.tutiempo.net/clima/01-2017/ws-80143.html
12;179722;https://www.tutiempo.net/clima/02-2017/ws-82210.html
10;214530;https://www.tutiempo.net/clima/12-2017/ws-80143.html
24;179568;https://www.tutiempo.net/clima/09-2016/ws-80250.html
22;214717;https://www.tutiempo.net/clima/04-2018/ws-82210.html
27;214398;https://www.tutiempo.net/clima/08-2017/ws-81810.html
04;214486;https://www.tutiempo.net/clima/11-2017/ws-80800.html
27;179707;https://www.tutiempo.net/clima/01-2017/ws-80850.html
27;179637;https://www.tutiempo.net/clima/11-2016/ws-82860.html
03;179648;https://www.tutiempo.net/clima/12-2016/ws-82210.html
16;179825;https://www.tutiempo.net/clima/04-2017/ws-83910.html
17;179549;https://www.tutiempo.net/clima/09-2016/ws-82210.html
17;179548;https://www.tutiempo.net/clima/09-2016/ws-80250.html
29;179703;https://www.tutiempo.net/clima/01-2017/ws-83910.html
14;179877;https://www.tutiempo.net/clima/05-2017/ws-82860.html
28;214733;https://www.tutiempo.net/clima/04-2018/ws-80290.html
21;214471;https://www.tutiempo.net/clima/10-2017/ws-83910.html
26;179742;https://www.tutiempo.net/clima/02-2017/ws-82210.html
23;214443;https://www.tutiempo.net/clima/09-2017/ws-84820.html
